index,tag,name,vmfb_hash,M,N,K,dtype,tA,tB,mean_microseconds,arithmetic_intensity,tflops,ok
0,tk,gemm_1024_5120_640_f16_f32_tB,ef5610d4d8c738bb25ccc4558fc15fc8,1024,5120,640,f16,N,T,73.0,365.7143,91.93,True
1,unet,gemm_2048_10240_1280_f16_f32_tB,8d333f921b6684ee10b713d1a3a85e29,2048,10240,1280,f16,N,T,213.0,731.4286,252.0521,True
2,tk,gemm_4096_20480_2560_f16_f32_tB,b1f80ea1b7303aed9c617869dfb7725b,4096,20480,2560,f16,N,T,1250.0,1462.8571,343.5974,True
3,unet,gemm_2048_1280_1280_f16_f32_tB,b86a2f521f3c796286f41c020e9f6cab,2048,1280,1280,f16,N,T,78.0,487.619,86.037,True
4,unet,gemm_2048_1280_5120_f16_f32_tB,678b35b051b67ef5b1af79fcf016906c,2048,1280,5120,f16,N,T,171.0,682.6667,156.9798,True
5,unet,gemm_128_1280_2048_f16_f32_tB,8da302cb127997700dfa9145e8240ba7,128,1280,2048,f16,N,T,78.0,110.1075,8.6037,True
6,unet,gemm_8192_640_640_f16_f32_tB,e102644550a8be6112759ac3bb672dda,8192,640,640,f16,N,T,70.0,307.9699,95.8698,True
7,unet,gemm_8192_640_2560_f16_f32_tB,3d71a886b599888ef1f15ee891f0641a,8192,640,2560,f16,N,T,127.0,481.8824,211.3665,True
8,unet,gemm_8192_5120_640_f16_f32_tB,5f985a1d18521f719043e9e05653e2be,8192,5120,640,f16,N,T,205.0,531.9481,261.8882,True
9,unet,gemm_64_640_2048_f16_f32_tB,69dfa0a135cc89a54a0d6e49f3c23def,64,640,2048,f16,N,T,82.0,56.5746,2.046,True
10,unet,gemm_64_1280_2048_f16_f32_tB,e78c983ed453994998c9ed1a345a20d0,64,1280,2048,f16,N,T,78.0,59.1908,4.3019,True
11,unet,gemm_1024_1280_1280_f16_f32_tB,27c2c18665212d8a647e910905d95494,1024,1280,1280,f16,N,T,69.0,393.8462,48.6296,True
12,unet,gemm_1024_1280_5120_f16_f32_tB,161fc8e478fe0fb35f7e1ab393f90889,1024,1280,5120,f16,N,T,157.0,512.0,85.489,True
13,unet,gemm_1024_10240_1280_f16_f32_tB,b5caf822a331ebba1dc4e16579134480,1024,10240,1280,f16,N,T,145.0,538.9474,185.1279,True
14,unet,gemm_4096_640_640_f16_f32_tB,8ddb8879aed208417be36af225fdaa7f,4096,640,640,f16,N,T,63.0,296.8116,53.261,True
15,unet,gemm_4096_640_2560_f16_f32_tB,12f0f2b7587377deef1f09b275b57607,4096,640,2560,f16,N,T,112.0,455.1111,119.8373,True
16,unet,gemm_4096_5120_640_f16_f32_tB,ea857eb46824b4ba0123a4225b9a934d,4096,5120,640,f16,N,T,129.0,499.5122,208.0895,True
